year	n_clusters	fuzziness	partition_coefficient	silhouette_score
1999	6	1.6	0.1371680534219521	0.43644351041971435
1999	7	1.6	0.11507928769627379	0.40547578586962857
1999	8	1.6	0.09615829510794219	0.39557382887693293
1999	9	1.6	0.0869009738157071	0.4006102881057451
1999	2	1.7	0.4658976774584115	0.7151946563363314
1999	3	1.7	0.3006124804448087	0.6396263961434321
1999	4	1.7	0.19980228823526236	0.45215359979309666
1999	5	1.7	0.160437866213176	0.443406872038379
1999	6	1.7	0.13153661587755852	0.437096784146242
1999	7	1.7	0.10999657553496202	0.40467790626623307
1999	8	1.7	0.09185756459520915	0.3822895826400201
1999	9	1.7	0.08245805409902697	0.40061263507987455
1999	2	2.0	0.44554304297272856	0.6914185896655541
1999	3	2.0	0.2803831772340167	0.6291357733900629
1999	4	2.0	0.18065030677559699	0.43407273437303556
1999	5	2.0	0.13557328195067198	0.3750587320962042
1999	6	2.0	0.1137604898336512	0.42071418275802036
1999	7	2.0	0.08941919250272844	0.3667156045367109
1999	8	2.0	0.07712716988673596	0.3907495352359862
1999	9	2.0	0.06864406715272188	0.39543263633517073
1999	2	2.1	0.43800923825226923	0.6763859423199603
1999	3	2.1	0.27285398264541383	0.6237198095040059
1999	4	2.1	0.1743868160514255	0.4303132891890743
1999	5	2.1	0.12634613479461634	0.3735719349679456
1999	6	2.1	0.10428506803172348	0.38207543368902197
1999	7	2.1	0.08444997047655514	0.3579871787060298
1999	8	2.1	0.07223463208528581	0.3598863522234472
1999	9	2.1	0.06239206226298171	0.3749661024489097
1999	2	2.5	0.4064970405125995	0.6695330350825516
1999	3	2.5	0.24220357997921227	0.6111154867343728
1999	4	2.5	0.15122294097605532	0.4135176405455267
1999	5	2.5	0.10534151068099835	0.35592973964455366
1999	6	2.5	0.08484349023491712	0.37894249248641715
1999	7	2.5	0.07206290963238163	0.3845301480184508
1999	8	2.5	0.05781336218770236	0.34712146726211496
1999	9	2.5	0.04901359193898878	0.3819766521861485
1999	2	2.6	0.3988195895627407	0.6695330350825516
1999	3	2.6	0.2348674058428537	0.6111154867343728
1999	4	2.6	0.1460463281915027	0.41231052416273895
1999	5	2.6	0.10108018091907103	0.3567444287458535
1999	6	2.6	0.08078806905960076	0.37540128494996494
1999	7	2.6	0.06286852973328305	0.34963557180763377
1999	8	2.6	0.05438796072140699	0.34518445383892155
1999	9	2.6	0.04259542232520625	0.26298861168728155
1999	2	2.7	0.3913754494860182	0.6669025614212671
1999	3	2.7	0.22775687556068844	0.5985883381358215
1999	4	2.7	0.14114249451411082	0.40938835090563097
1999	5	2.7	0.09712372526347593	0.3567444287458535
1999	6	2.7	0.07703968264107898	0.3735799552500142
1999	7	2.7	0.059492321496253324	0.34963557180763377
1999	8	2.7	0.04882396308528788	0.3130166611122696
1999	9	2.7	0.04005533526640493	0.24743989414443532
2000	2	1.3	0.4877252816327422	0.7794097998755122
2000	3	1.3	0.3269123075537454	0.752538979162666
2000	4	1.3	0.24046181508491055	0.6507380779038732
2000	5	1.3	0.19289102025692226	0.6241192876442276
2000	6	1.3	0.15807720872928618	0.5570767215234411
2000	7	1.3	0.13599167811976912	0.5707708562451815
2000	8	1.3	0.11869077263478582	0.5675748105236947
2000	9	1.3	0.10348589069267353	0.5379160829196215
2000	2	1.4	0.4831798522646088	0.7794097998755122
2000	3	1.4	0.3241806542889794	0.752538979162666
2000	4	1.4	0.23559205286026672	0.6507380779038732
2000	5	1.4	0.18853298780976013	0.6542518228467179
2000	6	1.4	0.15264449523688095	0.5305013085820836
2000	7	1.4	0.12842230015905592	0.5313729772267992
2000	8	1.4	0.11291293338202216	0.5378924909463078
2000	9	1.4	0.09991880588187729	0.4992521850050636
2000	2	1.5	0.4783282821963658	0.7723369767155752
2000	3	1.5	0.3210885411739473	0.752538979162666
2000	4	1.5	0.23002042548741597	0.6507380779038732
2000	5	1.5	0.18417189934478523	0.6525998758806607
2000	6	1.5	0.1469649230262591	0.5492411373278111
2000	7	1.5	0.1240717829455727	0.5313729772267992
2000	8	1.5	0.10928726307325924	0.5389447775463508
2000	9	1.5	0.0935772520771847	0.4589240402873722
2000	2	1.6	0.4731442675488025	0.7723369767155752
2000	3	1.6	0.31759224466674635	0.740017123797418
2000	4	1.6	0.2237171889848001	0.6350069288263178
2000	5	1.6	0.1792735275416669	0.6485993173246669
2000	6	1.6	0.14142671803506365	0.5282993908019509
2000	7	1.6	0.11573003389925902	0.49413520001234973
2000	8	1.6	0.10586650101897334	0.548317852964555
2000	9	1.6	0.09281405947055796	0.4980791363611363
2000	2	1.7	0.4675276514751067	0.7723369767155752
2000	3	1.7	0.31364625995829803	0.740017123797418
2000	4	1.7	0.2168432569090567	0.6275521811870278
2000	5	1.7	0.17380435782663123	0.6451810536525246
2000	6	1.7	0.13614244582869658	0.5121299662305742
2000	7	1.7	0.11760515416008167	0.5160733854908695
2000	8	1.7	0.10188820388571188	0.5309986332948421
2000	9	1.7	0.08849512267169438	0.4850404114978919
2000	2	2.0	0.4476643026901847	0.7651266307143361
2000	3	2.0	0.2990607662698315	0.7147562626201203
2000	4	2.0	0.1944775525876701	0.5882525391649576
2000	5	2.0	0.14990864830727263	0.5315337672973949
2000	6	2.0	0.12096735552631245	0.49427060832199726
2000	7	2.0	0.09823843446840803	0.47642379340602053
2000	8	2.0	0.08530323039480525	0.479379864097039
2000	9	2.0	0.07400696932068337	0.46029478361457843
2000	2	2.1	0.440185689869105	0.757454024211835
2000	3	2.1	0.2765184086754373	0.7087499426829582
2000	4	2.1	0.18679397903002162	0.5686988455785408
2000	5	2.1	0.143777752922211	0.5175299785025437
2000	6	2.1	0.1159421689315222	0.4909557724893686
2000	7	2.1	0.09359815999704792	0.47292406274015003
2000	8	2.1	0.08098989884305599	0.46562844490686195
2000	9	2.1	0.06973084059812877	0.44506281591125607
2000	2	2.5	0.40874944639328414	0.7416279777211772
2000	3	2.5	0.23403317067710436	0.6685899347246411
2000	4	2.5	0.15394820429915854	0.4398786585425465
2000	5	2.5	0.12150114117232307	0.48522687240174905
2000	6	2.5	0.09362348254117667	0.4448796318546548
2000	7	2.5	0.07492653546410857	0.4359434973376567
2000	8	2.5	0.06233752443434037	0.43142096311068867
2000	9	2.5	0.05467045184556859	0.4295043572341816
2000	2	2.6	0.4010151893359479	0.7348964254067158
2000	3	2.6	0.2256678138173556	0.6579841056714725
2000	4	2.6	0.14861771849048883	0.43883170065193
2000	5	2.6	0.11666275216053265	0.48275829275656273
2000	6	2.6	0.08966215161799788	0.4422059550337066
2000	7	2.6	0.07122190009768684	0.42965345426850193
2000	8	2.6	0.06050044395191656	0.41809722795770987
2000	9	2.6	0.05146834576013951	0.40613179539192595
2000	2	2.7	0.39348278675203674	0.7276551860167527
2000	3	2.7	0.2182105499713949	0.646442501866065
2000	4	2.7	0.1435563087045418	0.43681597105725534
2000	5	2.7	0.11206419838097036	0.47993764691787594
2000	6	2.7	0.08592894726493826	0.4422059550337066
2000	7	2.7	0.06688641152585997	0.43499293682299345
2000	8	2.7	0.055381699635784314	0.43067516618966156
2000	9	2.7	0.04800493362879854	0.40464014797929
2001	2	1.3	0.49573805336434135	0.7893499090667992
2001	3	1.3	0.31739116194138217	0.5587928965639929
2001	4	1.3	0.23563561944128253	0.5673188553285753
2001	5	1.3	0.18863611183070406	0.5574038646427488
2001	6	1.3	0.15672198053884864	0.5591719500169123
2001	7	1.3	0.13611934186756688	0.5910328316678284
2001	8	1.3	0.11808329364836809	0.5612944379299235
2001	9	1.3	0.10034255588508903	0.42863105296708426
2001	2	1.4	0.4935615143746679	0.7893499090667992
2001	3	1.4	0.3118186796840345	0.5587928965639929
2001	4	1.4	0.23051541464278125	0.5673188553285753
2001	5	1.4	0.1815083873418579	0.5429902573980147
2001	6	1.4	0.15351393210869124	0.5801014734973511
2001	7	1.4	0.1315816863649436	0.5625097361503586
2001	8	1.4	0.11123468498232099	0.5254650441232877
2001	9	1.4	0.09575027110635943	0.41038119309652554
2001	2	1.5	0.49047959860378026	0.7893499090667992
2001	3	1.5	0.30555447733227853	0.554651217994761
2001	4	1.5	0.22491453814981352	0.5644163679799606
2001	5	1.5	0.17999676959708832	0.5574038646427488
2001	6	1.5	0.14784519442108487	0.5454965304825282
2001	7	1.5	0.12747706892389657	0.5584548422839474
2001	8	1.5	0.10640705233286278	0.5058391524323533
2001	9	1.5	0.09457049241514792	0.4986645132187401
2001	2	1.6	0.48640510105449325	0.7893499090667992
2001	3	1.6	0.29879313056274326	0.5550386477404431
2001	4	1.6	0.218828799635554	0.5644163679799606
2001	5	1.6	0.16900642007446556	0.5149218420501066
