year	n_clusters	fuzziness	partition_coefficient	silhouette_score
2009	8	2.1	0.08585367530713336	0.5317118754764564
2009	9	2.1	0.07582683658505683	0.5280568914399385
2009	2	2.5	0.4461307250168106	0.819879967457388
2009	3	2.5	0.25395555971928807	0.6381431436633246
2009	4	2.5	0.17024227725232224	0.5590606250372285
2009	5	2.5	0.13353260304878983	0.5962863710515535
2009	6	2.5	0.10994243071579855	0.5968477594482373
2009	7	2.5	0.08227492690806225	0.47563623020614476
2009	8	2.5	0.06630169093147524	0.4657423749570445
2009	9	2.5	0.05885626049666339	0.529271664429305
2009	2	2.6	0.43973959770762894	0.819879967457388
2009	3	2.6	0.24798792670986528	0.6339509034736723
2009	4	2.6	0.16489363768853282	0.5590606250372285
2009	5	2.6	0.1284496820846642	0.5936386012079984
2009	6	2.6	0.10028696175023827	0.5893710126340608
2009	7	2.6	0.0783237491904651	0.4796539073139424
2009	8	2.6	0.06300404329645949	0.4640054230822844
2009	9	2.6	0.05453915170068769	0.44987981859028914
2009	2	2.7	0.43327500212490494	0.819879967457388
2009	3	2.7	0.2421863125641254	0.6306381798830045
2009	4	2.7	0.1596846493414645	0.552258243557852
2009	5	2.7	0.12349820197708834	0.5893814087901823
2009	6	2.7	0.08744795575027259	0.48221771455550017
2009	7	2.7	0.07369094975804862	0.4681570253258919
2009	8	2.7	0.06069886767607866	0.5096489409807917
2009	9	2.7	0.05030156159531895	0.4721281669926299
2010	2	1.3	0.49680995599668687	0.8304040018101113
2010	3	1.3	0.31911902680476184	0.6326623749098715
2010	4	1.3	0.24118806629374412	0.6521815083793603
2010	5	1.3	0.19355458046997098	0.6541546763430965
2010	6	1.3	0.15597179522469015	0.5393083185288582
2010	7	1.3	0.13748127434488266	0.6215630571956718
2010	8	1.3	0.11782500808660361	0.5438811359557664
2010	9	1.3	0.10518405976650969	0.5590392683493668
2010	2	1.4	0.49481156660539816	0.8304040018101113
2010	3	1.4	0.31378427619547616	0.6310596726394831
2010	4	1.4	0.23722617593067374	0.6521815083793603
2010	5	1.4	0.1881552800166956	0.6196771413801381
2010	6	1.4	0.15626720414924575	0.6124993460121447
2010	7	1.4	0.13368954810898437	0.6156305808189987
2010	8	1.4	0.11434277421665621	0.5370011453024562
2010	9	1.4	0.10207941382525541	0.5409237759182155
2010	2	1.5	0.49260499973903255	0.8304040018101113
2010	3	1.5	0.3085040435495096	0.6263148666032875
2010	4	1.5	0.23276603510929228	0.6521815083793603
2010	5	1.5	0.18374648674879776	0.6196771413801381
2010	6	1.5	0.14817370823145373	0.5364231340899736
2010	7	1.5	0.12682604436978925	0.532569198384023
2010	8	1.5	0.11140418305007388	0.5411822310456534
2010	9	1.5	0.0995192768188085	0.5443290395393904
2010	2	1.6	0.49010052625908634	0.8304040018101113
2010	3	1.6	0.303100281371284	0.6263148666032875
2010	4	1.6	0.22774161735810017	0.6521815083793603
2010	5	1.6	0.17891589404538033	0.6168037100257889
2010	6	1.6	0.14383707377826307	0.5364231340899736
2010	7	1.6	0.12613196721672523	0.6125648445554025
2010	8	1.6	0.10820273743838106	0.5411444806627664
2010	9	1.6	0.09652794938267585	0.5452136795846801
2010	2	1.7	0.487203272893745	0.8304040018101113
2010	3	1.7	0.2974549330542511	0.6263148666032875
2010	4	1.7	0.22220864076398072	0.6521815083793603
2010	5	1.7	0.17372732498824137	0.614106160562912
2010	6	1.7	0.14415759499081646	0.6069621760300837
2010	7	1.7	0.12200206909298614	0.6062331350540224
2010	8	1.7	0.10476543011393208	0.5406524807771846
2010	9	1.7	0.09205502421863057	0.55462327794626
2010	2	2.0	0.47555061864902526	0.8304040018101113
2010	3	2.0	0.2790938946544096	0.6263148666032875
2010	4	2.0	0.20373692058537968	0.634433422501294
2010	5	2.0	0.15185419992531715	0.5371258900216509
2010	6	2.0	0.12594547420646565	0.5328918152747937
2010	7	2.0	0.10667815040354478	0.5347034626947688
2010	8	2.0	0.08950838684575883	0.5491917291945089
2010	9	2.0	0.0801308178941467	0.5527925591634715
2010	2	2.1	0.4706562081624219	0.8304040018101113
2010	3	2.1	0.27271741363470564	0.6168560731199141
2010	4	2.1	0.19735652313075525	0.6318070465657909
2010	5	2.1	0.14646600751655883	0.5325056422215998
2010	6	2.1	0.11944756455948284	0.5338793287659912
2010	7	2.1	0.10258424418577795	0.5342122445859092
